City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,53.46,72,75,17.27,AU,1668580755
1,kaka,37.3482,59.6143,54.68,41,0,3.04,TM,1668580880
2,yellowknife,62.456,-114.3525,16.32,73,75,19.57,CA,1668580881
3,san cristobal,7.7669,-72.225,64.65,96,95,1.92,VE,1668580881
4,punta arenas,-53.15,-70.9167,46.51,61,40,5.75,CL,1668580881
5,constitucion,-35.3333,-72.4167,55.99,75,0,8.48,CL,1668580882
6,fortuna,40.5982,-124.1573,41.92,100,0,10.36,US,1668580780
7,busselton,-33.65,115.3333,69.66,57,100,18.12,AU,1668580882
8,port elizabeth,-33.918,25.5701,73.09,60,0,16.11,ZA,1668580883
9,leh,34.1667,77.5833,21.94,55,32,2.42,IN,1668580883
10,khatanga,71.9667,102.5,-8.68,98,99,7.61,RU,1668580884
11,albany,42.6001,-73.9662,32.59,91,100,2.35,US,1668580884
12,mataura,-46.1927,168.8643,58.48,90,100,2.1,NZ,1668580885
13,doha,25.2867,51.5333,85.98,41,0,3.44,QA,1668580749
14,roma,43.2128,-75.4557,32.95,93,100,6.91,US,1668580885
15,vostok,46.4856,135.8833,19.96,89,100,1.88,RU,1668580886
16,puerto ayora,-0.7393,-90.3518,67.55,89,70,8.01,EC,1668580886
17,puerto escondido,15.85,-97.0667,77.5,74,41,4.85,MX,1668580887
18,antofagasta,-23.65,-70.4,60.08,76,0,1.39,CL,1668580887
19,jamestown,42.097,-79.2353,34.72,80,100,9.22,US,1668580782
20,puri,19.8,85.85,82.92,39,97,9.4,IN,1668580888
21,fasa,28.9383,53.6482,63.64,42,0,0.0,IR,1668580888
22,coquimbo,-29.9533,-71.3436,56.93,100,40,8.05,CL,1668580889
23,cap-aux-meules,47.3821,-61.8597,35.62,64,100,13.8,CA,1668580889
24,chokurdakh,70.6333,147.9167,-35.14,100,49,1.32,RU,1668580889
25,margate,51.3813,1.3862,52.9,92,80,5.99,GB,1668580890
26,merauke,-8.4667,140.3333,81.82,77,100,1.79,ID,1668580890
27,moniquira,5.8764,-73.5728,58.39,97,100,3.65,CO,1668580891
28,asyut,27.181,31.1837,57.38,45,97,6.91,EG,1668580891
29,lorengau,-2.0226,147.2712,83.88,73,25,5.73,PG,1668580891
30,fare,-16.7,-151.0167,79.34,74,82,3.53,PF,1668580892
31,fukue,32.6881,128.8419,64.76,39,40,9.22,JP,1668580892
32,rikitea,-23.1203,-134.9692,74.86,82,100,20.2,PF,1668580893
33,bredasdorp,-34.5322,20.0403,63.46,61,97,4.63,ZA,1668580893
34,hithadhoo,-0.6,73.0833,81.64,76,100,11.32,MV,1668580893
35,kapaa,22.0752,-159.319,73.72,76,20,12.66,US,1668580894
36,havoysund,70.9963,24.6622,41.23,79,100,9.84,NO,1668580894
37,castro,-24.7911,-50.0119,51.37,82,0,4.18,BR,1668580895
38,namibe,-15.1961,12.1522,68.38,74,70,3.8,AO,1668580895
39,iqaluit,63.7506,-68.5145,6.53,78,100,8.05,CA,1668580734
40,cape town,-33.9258,18.4232,69.39,60,20,5.75,ZA,1668580875
41,svetlogorsk,52.6333,29.7333,36.91,88,100,7.27,BY,1668580896
42,lagoa,39.05,-27.9833,64.08,92,19,28.7,PT,1668580897
43,codrington,-38.2667,141.9667,53.8,67,69,12.53,AU,1668580897
44,corralillo,22.9819,-80.5856,76.44,84,6,8.72,CU,1668580630
45,derzhavinsk,51.1,66.3167,20.64,78,100,16.35,KZ,1668580898
46,port alfred,-33.5906,26.891,71.19,64,28,5.01,ZA,1668580898
47,hilo,19.7297,-155.09,71.26,95,0,5.75,US,1668580664
48,saint-philippe,-21.3585,55.7679,78.39,65,64,9.26,RE,1668580899
49,tuatapere,-46.1333,167.6833,57.99,86,100,3.11,NZ,1668580899
50,severo-kurilsk,50.6789,156.125,34.0,71,66,9.89,RU,1668580900
51,krivosheino,57.3431,83.9261,32.47,97,100,13.4,RU,1668580900
52,ushuaia,-54.8,-68.3,46.06,57,0,4.61,AR,1668580889
53,qaanaaq,77.484,-69.3632,-2.04,87,22,5.97,GL,1668580900
54,conakry,9.538,-13.6773,78.71,78,88,2.21,GN,1668580832
55,aksu,41.1231,80.2644,44.89,32,100,2.51,CN,1668580901
56,zyryanka,65.75,150.85,-16.19,94,100,15.66,RU,1668580901
57,liberal,37.0431,-100.921,24.94,86,0,10.36,US,1668580902
58,monrovia,6.3005,-10.7969,75.87,86,93,1.61,LR,1668580902
59,kulu,39.0951,33.0799,50.0,49,4,3.94,TR,1668580903
60,ponta do sol,32.6667,-17.1,67.71,65,100,5.12,PT,1668580903
61,dikson,73.5069,80.5464,-7.42,99,97,2.44,RU,1668580903
62,tooele,40.5308,-112.2983,28.09,86,0,6.91,US,1668580800
63,kirakira,-10.4544,161.9205,81.82,78,87,1.19,SB,1668580904
64,victoria,22.2855,114.1577,82.45,84,95,1.99,HK,1668580686
65,quarai,-30.3875,-56.4514,61.84,52,65,1.61,BR,1668580904
66,noumea,-22.2763,166.4572,80.58,80,100,7.02,NC,1668580905
67,chara,56.9064,118.2631,6.66,85,88,0.96,RU,1668580905
68,bluff,-46.6,168.3333,58.8,93,100,8.19,NZ,1668580906
69,kavieng,-2.5744,150.7967,83.95,65,75,8.34,PG,1668580906
70,pangai,-19.8,-174.35,77.97,78,0,6.58,TO,1668580907
71,klaksvik,62.2266,-6.589,47.32,91,100,16.08,FO,1668580907
72,norman wells,65.282,-126.8329,6.84,92,40,4.61,CA,1668580908
73,atuona,-9.8,-139.0333,77.83,74,0,12.3,PF,1668580908
74,tiznit,29.5833,-9.5,62.6,26,28,3.02,MA,1668580909
75,kruisfontein,-34.0033,24.7314,70.88,61,47,15.79,ZA,1668580909
76,avarua,-21.2078,-159.775,73.45,68,100,6.91,CK,1668580909
77,prudy,57.5738,46.2718,18.81,74,40,3.06,RU,1668580910
78,tiksi,71.6872,128.8694,-21.24,98,88,6.85,RU,1668580910
79,tasiilaq,65.6145,-37.6368,32.16,59,100,6.8,GL,1668580911
80,henties bay,-22.116,14.2845,61.56,79,0,7.14,NA,1668580911
81,hermanus,-34.4187,19.2345,64.8,72,48,7.27,ZA,1668580911
82,verkhoyansk,67.5447,133.385,-36.65,99,64,2.21,RU,1668580912
